Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9709.04, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±15.5,±26.1,±29.0,±32.3,(X),±0.8,±1.3,±6.0,±5.3,±5.0,±6.3,±4.3,±1.4,±7.0,(X),±12.0,±21.1,(X),±25.7,±21.0,(X),±7.7,±12.1,(X),±2.2,±10.0,,(X),±1.5,±7.6,(X),±1.5,±7.7,(X),±100.0,±100.0,(X),±75.5,±75.5,(X),**,**,(X),**,**,(X),**,**,(X),±56.4,±42.8,(X),±87.9,±87.9,,±82.3,±1.2,±6.4,±7.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9710.03, Carteret County, North Carolina!!Total!!Estimate",,57,1,11,39,6,"1,507",10,10,164,282,157,479,405,"1,487",884,70,69,48,126,126,68,579,569,309,732,723,459,,"1,486","1,467",881,"1,486","1,467",881,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,3,0,0,0,,(X),(X),(X),(X),,"52,554",-,"64,000","32,632","58,875","67,500"
"Census Tract 9710.03, Carteret County, North Carolina!!Total!!Margin of Error",,±44,±2,±9,±42,±7,±141,±13,±7,±42,±68,±36,±66,±72,±142,±108,±32,±33,±29,±55,±55,±34,±64,±68,±54,±89,±87,±69,,±139,±140,±108,±139,±140,±108,±14,±15,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±16,±16,±4,±13,±13,±13,,(X),(X),(X),(X),,"±21,522",**,"±49,451","±3,780","±11,152","±16,072"
"Census Tract 9710.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),1.80%,19.30%,68.40%,10.50%,(X),0.70%,0.70%,10.90%,18.70%,10.40%,31.80%,26.90%,98.70%,58.70%,(X),98.60%,68.60%,(X),100.00%,54.00%,(X),98.30%,53.40%,(X),98.80%,62.70%,,(X),98.70%,59.30%,(X),98.70%,59.30%,(X),75.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,17.60%,(X),-,-,,5.00%,3.00%,2.10%,1.90%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9710.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±4.6,±22.7,±31.3,±14.2,(X),±0.9,±0.5,±2.4,±3.8,±2.5,±3.8,±3.8,±1.0,±5.0,(X),±3.2,±28.1,(X),±26.7,±22.4,(X),±2.3,±7.4,(X),±0.8,±5.9,,(X),±1.0,±5.1,(X),±1.0,±5.1,(X),±75.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±79.8,±24.5,(X),**,**,,±11.5,±3.6,±1.9,±1.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9710.03, Carteret County, North Carolina!!Male!!Estimate",,44,1,4,35,4,765,10,6,68,139,83,217,242,749,459,32,32,19,76,76,32,271,261,129,386,380,279,,749,733,459,749,733,459,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,,(X),(X),(X),(X),,"54,271",-,"78,250","33,625","80,357","62,708"
"Census Tract 9710.03, Carteret County, North Carolina!!Male!!Margin of Error",,±42,±2,±6,±40,±6,±87,±13,±7,±26,±59,±30,±43,±55,±90,±65,±20,±20,±14,±50,±50,±24,±36,±40,±28,±54,±55,±51,,±85,±87,±65,±85,±87,±65,±15,±15,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±14,±14,±13,±13,±13,±13,,(X),(X),(X),(X),,"±17,071",**,"±24,204","±12,807","±33,012","±45,698"
"Census Tract 9710.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),2.30%,9.10%,79.50%,9.10%,(X),1.30%,0.80%,8.90%,18.20%,10.80%,28.40%,31.60%,97.90%,60.00%,(X),100.00%,59.40%,(X),100.00%,42.10%,(X),96.30%,47.60%,(X),98.40%,72.30%,,(X),97.90%,61.30%,(X),97.90%,61.30%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,0.00%,2.90%,0.00%,1.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9710.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±6.4,±18.3,±27.6,±15.5,(X),±1.7,±1.0,±3.1,±6.6,±4.0,±5.4,±6.1,±1.9,±6.8,(X),±58.2,±41.4,(X),±37.7,±27.5,(X),±4.8,±9.3,(X),±1.9,±7.5,,(X),±2.0,±7.0,(X),±2.0,±7.0,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±87.9,±87.9,(X),**,**,,±82.3,±4.1,±16.4,±1.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9710.03, Carteret County, North Carolina!!Female!!Estimate",,13,0,7,4,2,742,0,4,96,143,74,262,163,738,425,38,37,29,50,50,36,308,308,180,346,343,180,,737,734,422,737,734,422,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,,(X),(X),(X),(X),,"35,625",-,-,"31,406",-,"69,792"
"Census Tract 9710.03, Carteret County, North Carolina!!Female!!Margin of Error",,±10,±13,±7,±5,±4,±73,±13,±5,±33,±35,±21,±49,±42,±73,±63,±21,±21,±20,±17,±17,±16,±48,±48,±41,±47,±48,±38,,±74,±73,±63,±74,±73,±63,±3,±2,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±4,±4,±4,±13,±13,±13,,(X),(X),(X),(X),,"±17,512",**,**,"±14,836",**,"±8,164"
"Census Tract 9710.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,53.80%,30.80%,15.40%,(X),0.00%,0.50%,12.90%,19.30%,10.00%,35.30%,22.00%,99.50%,57.30%,(X),97.40%,76.30%,(X),100.00%,72.00%,(X),100.00%,58.40%,(X),99.10%,52.00%,,(X),99.60%,57.30%,(X),99.60%,57.30%,(X),50.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,,25.00%,3.10%,4.10%,2.60%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9710.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±91.2,±35.8,±33.3,±27.9,(X),±5.2,±0.7,±4.1,±4.4,±3.0,±5.4,±5.1,±0.7,±5.6,(X),±6.0,±23.2,(X),±46.5,±18.9,(X),±12.2,±9.9,(X),±1.5,±8.4,,(X),±0.7,±5.6,(X),±0.7,±5.6,(X),±50.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),**,**,,±57.9,±3.7,±3.8,±2.2,,(X),(X),(X),(X),(X),(X)
"Census Tract 9711.03, Carteret County, North Carolina!!Total!!Estimate",,101,0,61,40,0,"1,466",21,19,275,295,246,450,160,"1,426",610,144,144,69,92,92,59,520,504,181,710,686,301,,"1,451","1,411",599,"1,451","1,411",599,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,14,11,0,0,0,,(X),(X),(X),(X),,"38,586",-,-,"38,125","45,000","84,107"
"Census Tract 9711.03, Carteret County, North Carolina!!Total!!Margin of Error",,±77,±13,±74,±50,±13,±278,±26,±23,±72,±96,±103,±171,±49,±274,±177,±77,±77,±46,±59,±59,±45,±116,±110,±60,±231,±230,±149,,±276,±272,±176,±276,±272,±176,±13,±13,±13,±3,±3,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±17,±17,±16,±13,±13,±13,,(X),(X),(X),(X),,"±4,787",**,**,"±7,702","±17,156","±33,062"
"Census Tract 9711.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,60.40%,39.60%,0.00%,(X),1.40%,1.30%,18.80%,20.10%,16.80%,30.70%,10.90%,97.30%,41.60%,(X),100.00%,47.90%,(X),100.00%,64.10%,(X),96.90%,34.80%,(X),96.60%,42.40%,,(X),97.20%,41.30%,(X),97.20%,41.30%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,78.60%,(X),-,-,,0.00%,20.40%,6.30%,5.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9711.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±31.5,±47.8,±47.8,±31.5,(X),±1.7,±1.6,±5.3,±6.2,±5.4,±8.1,±3.6,±2.3,±7.2,(X),±23.9,±23.6,(X),±33.6,±23.6,(X),±4.2,±9.6,(X),±3.9,±11.4,,(X),±2.4,±7.3,(X),±2.4,±7.3,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±87.9,±45.4,(X),**,**,,±52.0,±15.5,±5.9,±6.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9711.03, Carteret County, North Carolina!!Male!!Estimate",,96,0,56,40,0,708,16,19,105,162,86,235,85,673,320,45,45,8,43,43,22,260,244,72,360,341,218,,702,667,314,702,667,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,,(X),(X),(X),(X),,"39,432",-,"33,250","38,466",-,"100,417"
"Census Tract 9711.03, Carteret County, North Carolina!!Male!!Margin of Error",,±76,±13,±74,±50,±13,±163,±25,±23,±44,±73,±45,±146,±36,±159,±146,±38,±38,±12,±31,±31,±21,±76,±71,±36,±135,±133,±133,,±162,±158,±146,±162,±158,±146,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±9,±9,±9,±13,±13,±13,,(X),(X),(X),(X),,"±13,283",**,"±12,971","±8,786",**,"±62,895"
"Census Tract 9711.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,58.30%,41.70%,0.00%,(X),2.30%,2.70%,14.80%,22.90%,12.10%,33.20%,12.00%,95.10%,45.20%,(X),100.00%,17.80%,(X),100.00%,51.20%,(X),93.80%,27.70%,(X),94.70%,60.60%,,(X),95.00%,44.70%,(X),95.00%,44.70%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,,0.00%,7.60%,3.60%,3.50%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9711.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±32.7,±52.0,±52.0,±32.7,(X),±3.5,±3.3,±7.0,±9.8,±6.5,±15.6,±5.8,±4.7,±14.2,(X),±49.0,±28.6,(X),±50.2,±46.4,(X),±8.1,±14.3,(X),±7.4,±18.5,,(X),±4.7,±14.3,(X),±4.7,±14.3,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),**,**,,±55.6,±12.4,±4.1,±5.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9711.03, Carteret County, North Carolina!!Female!!Estimate",,5,0,5,0,0,758,5,0,170,133,160,215,75,753,290,99,99,61,49,49,37,260,260,109,350,345,83,,749,744,285,749,744,285,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,8,5,0,0,0,,(X),(X),(X),(X),,"37,422",-,"10,438","36,250","45,000","58,750"
"Census Tract 9711.03, Carteret County, North Carolina!!Female!!Margin of Error",,±8,±13,±8,±13,±13,±140,±7,±13,±61,±52,±94,±70,±31,±140,±77,±59,±59,±42,±34,±34,±33,±65,±65,±43,±113,±112,±35,,±139,±140,±75,±139,±140,±75,±13,±13,±13,±3,±3,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±9,±9,±7,±13,±13,±13,,(X),(X),(X),(X),,"±6,139",**,"±10,339","±30,117","±15,102","±37,892"
"Census Tract 9711.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),0.00%,100.00%,0.00%,0.00%,(X),0.70%,0.00%,22.40%,17.50%,21.10%,28.40%,9.90%,99.30%,38.30%,(X),100.00%,61.60%,(X),100.00%,75.50%,(X),100.00%,41.90%,(X),98.60%,23.70%,,(X),99.30%,38.10%,(X),99.30%,38.10%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,62.50%,(X),-,-,,0.00%,28.20%,8.50%,6.80%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9711.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±100.0,±100.0,±100.0,±100.0,(X),±0.9,±5.1,±7.2,±6.8,±10.2,±9.2,±3.8,±0.9,±9.5,(X),±32.0,±33.8,(X),±47.0,±25.8,(X),±14.2,±13.7,(X),±2.0,±11.5,,(X),±0.9,±9.5,(X),±0.9,±9.5,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±57.9,(X),**,**,,±100.0,±22.2,±10.0,±7.5,,(X),(X),(X),(X),(X),(X)
"Census Tract 9801, Carteret County, North Carolina!!Total!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9801, Carteret County, North Carolina!!Total!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9801, Carteret County, North Carolina!!Percent!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9801, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9801, Carteret County, North Carolina!!Male!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9801, Carteret County, North Carolina!!Male!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9801, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9801, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9801, Carteret County, North Carolina!!Female!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9801, Carteret County, North Carolina!!Female!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9801, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9801, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9901, Carteret County, North Carolina!!Total!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9901, Carteret County, North Carolina!!Total!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9901, Carteret County, North Carolina!!Percent!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9901, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9901, Carteret County, North Carolina!!Male!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9901, Carteret County, North Carolina!!Male!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9901, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9901, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9901, Carteret County, North Carolina!!Female!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9901, Carteret County, North Carolina!!Female!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9901, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9901, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9902, Carteret County, North Carolina!!Total!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9902, Carteret County, North Carolina!!Total!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9902, Carteret County, North Carolina!!Percent!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9902, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9902, Carteret County, North Carolina!!Male!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9902, Carteret County, North Carolina!!Male!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
"Census Tract 9902, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),-,-,-,-,(X),-,-,-,-,-,-,-,-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,,-,-,-,-,,(X),(X),(X),(X),(X),(X)
"Census Tract 9902, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),**,**,**,**,(X),**,**,**,**,**,**,**,**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,,**,**,**,**,,(X),(X),(X),(X),(X),(X)
"Census Tract 9902, Carteret County, North Carolina!!Female!!Estimate",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(X),(X),(X),(X),,-,-,-,-,-,-
"Census Tract 9902, Carteret County, North Carolina!!Female!!Margin of Error",,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,,(X),(X),(X),(X),,**,**,**,**,**,**
